                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0893,                 1.1149,                 1.2066,                 0.8968,                0.94765,                0.95916,                0.63121,                 1.1736,                0.65278,                 1.3316,             0.00027756,             0.00027756,             0.00027756
                      2,                 1.0335,                0.74365,                  1.172,                0.94401,                0.96286,                0.97882,                0.65591,                 1.1431,                0.59552,                 1.2824,             0.00052774,             0.00052774,             0.00052774
                      3,                 1.0081,                0.70766,                 1.1609,                0.95442,                0.94628,                0.96905,                0.65704,                 1.1171,                 0.5433,                 1.2799,             0.00075043,             0.00075043,             0.00075043
                      4,                0.98356,                0.66649,                 1.1455,                0.97499,                0.95623,                0.98056,                0.67979,                 1.0851,                0.50922,                 1.2665,              0.0007093,              0.0007093,              0.0007093
                      5,                 0.9566,                 0.6394,                   1.13,                0.97611,                0.93918,                0.98114,                0.69185,                 1.0451,                0.49181,                 1.2287,              0.0007093,              0.0007093,              0.0007093
                      6,                0.93242,                0.60952,                 1.1182,                0.96871,                 0.9563,                0.97898,                0.69688,                 1.0481,                0.48098,                  1.216,             0.00066807,             0.00066807,             0.00066807
                      7,                0.90611,                0.58772,                  1.109,                0.95534,                0.95915,                0.98322,                0.70594,                 1.0154,                0.45706,                 1.2197,             0.00062683,             0.00062683,             0.00062683
                      8,                0.89228,                0.56838,                 1.0992,                0.97057,                0.97348,                0.98859,                0.71436,                0.99957,                0.45111,                 1.2112,              0.0005856,              0.0005856,              0.0005856
                      9,                0.87647,                0.56302,                 1.0919,                0.98076,                0.95721,                0.98333,                0.72308,                0.99506,                0.43852,                 1.2016,             0.00054437,             0.00054437,             0.00054437
                     10,                0.85859,                0.54902,                 1.0858,                0.97603,                0.95474,                0.98385,                0.72595,                0.97199,                0.42102,                 1.1911,             0.00050313,             0.00050313,             0.00050313
                     11,                0.86033,                0.49069,                 1.0919,                0.95358,                0.95891,                0.98276,                0.71762,                0.96319,                0.44694,                 1.1753,              0.0004619,              0.0004619,              0.0004619
                     12,                0.84562,                0.47909,                 1.0823,                0.96499,                0.96313,                0.98332,                0.73242,                0.95366,                0.43999,                 1.1736,             0.00042066,             0.00042066,             0.00042066
                     13,                0.82909,                0.46942,                 1.0773,                0.97437,                0.94828,                0.98487,                0.73912,                0.94058,                 0.4254,                 1.1635,             0.00037943,             0.00037943,             0.00037943
                     14,                0.81315,                0.45636,                 1.0671,                0.96996,                0.94484,                0.98171,                  0.739,                0.92248,                0.42857,                 1.1557,              0.0003382,              0.0003382,              0.0003382
                     15,                0.79812,                0.44927,                  1.057,                0.96313,                0.93821,                0.98074,                0.74191,                0.91646,                0.42006,                 1.1534,             0.00029696,             0.00029696,             0.00029696
                     16,                0.78224,                 0.4362,                 1.0514,                0.96289,                0.95953,                0.98516,                0.75805,                0.89241,                0.40556,                 1.1389,             0.00025573,             0.00025573,             0.00025573
                     17,                0.76899,                0.42595,                 1.0447,                0.95331,                0.95434,                0.98385,                0.75952,                 0.8785,                0.40629,                  1.125,              0.0002145,              0.0002145,              0.0002145
                     18,                0.74985,                0.41336,                 1.0372,                0.95979,                0.95039,                0.98314,                0.76821,                0.86336,                0.39436,                 1.1184,             0.00017326,             0.00017326,             0.00017326
                     19,                0.73317,                0.40727,                 1.0315,                 0.9573,                 0.9526,                0.98267,                0.76628,                0.86965,                0.38669,                 1.1228,             0.00013203,             0.00013203,             0.00013203
                     20,                0.71571,                0.39798,                 1.0177,                0.96718,                0.95151,                0.98464,                0.77422,                0.84199,                 0.3912,                 1.0988,             9.0797e-05,             9.0797e-05,             9.0797e-05
